center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.3662,0.2002,550.1,1778177678.914,Centru-Sus
0.6942,0.0000,105.0,1778177679.946,Dreapta-Sus
0.7684,0.0000,665.3,1778177680.102,Dreapta-Sus
0.8496,0.0000,752.1,1778177680.799,Dreapta-Sus
0.9133,0.0142,1746.8,1778177681.599,Dreapta-Sus
0.9295,0.0571,142.0,1778177683.391,Dreapta-Sus
0.9095,0.0042,446.7,1778177683.564,Dreapta-Sus
0.9006,0.0008,454.6,1778177684.197,Dreapta-Sus
0.9140,0.0330,478.7,1778177684.697,Dreapta-Sus
0.9360,0.1068,175.3,1778177685.228,Dreapta-Sus
0.9182,0.0292,562.4,1778177685.448,Dreapta-Sus
0.9184,0.0105,343.5,1778177686.207,Dreapta-Sus
0.9373,0.0660,109.9,1778177686.587,Dreapta-Sus
0.9147,0.0003,256.6,1778177686.746,Dreapta-Sus
0.9336,0.0563,143.2,1778177687.051,Dreapta-Sus
0.9149,0.0034,352.0,1778177687.225,Dreapta-Sus
0.9151,0.0017,272.7,1778177687.719,Dreapta-Sus
0.9291,0.0505,113.0,1778177688.025,Dreapta-Sus
0.9131,0.0062,271.8,1778177688.171,Dreapta-Sus
0.9114,0.0573,271.8,1778177688.475,Dreapta-Sus
0.7971,0.0037,299.4,1778177688.888,Dreapta-Sus
0.8800,0.0144,233.3,1778177689.241,Dreapta-Sus
0.9742,0.0000,1490.3,1778177689.604,Dreapta-Sus
0.9150,0.0019,1675.3,1778177691.129,Dreapta-Sus
0.8611,0.0000,107.2,1778177692.859,Dreapta-Sus
0.6474,0.0000,168.0,1778177693.321,Centru-Sus
0.5948,0.0000,227.1,1778177693.544,Centru-Sus
0.5222,0.0079,2832.3,1778177693.818,Centru-Sus
0.5883,0.0505,162.4,1778177696.682,Centru-Sus
0.6498,0.0974,381.0,1778177696.874,Centru-Sus
0.6752,0.1089,643.7,1778177697.291,Dreapta-Sus
0.6259,0.0494,2060.1,1778177697.969,Centru-Sus
0.6369,0.0000,181.8,1778177700.075,Centru-Sus
0.5742,0.0000,249.7,1778177700.286,Centru-Sus
0.5143,0.0000,394.5,1778177700.581,Centru-Sus
0.4580,0.0000,292.8,1778177701.008,Centru-Sus
0.3839,0.0000,296.6,1778177701.345,Centru-Sus
0.3450,0.0000,528.9,1778177701.674,Centru-Sus
0.2871,0.0000,155.4,1778177702.233,Stanga-Sus
0.2325,0.0000,128.8,1778177702.420,Stanga-Sus
0.0659,0.2494,529.7,1778177702.878,Stanga-Sus
0.0474,0.1553,523.9,1778177703.439,Stanga-Sus
0.0294,0.0438,6148.2,1778177704.012,Stanga-Sus
0.0631,0.1165,236.6,1778177710.208,Stanga-Sus
0.1124,0.2303,1015.2,1778177710.478,Stanga-Sus
0.1150,0.3414,1673.2,1778177711.540,Stanga-Mijloc
0.1176,0.3834,5074.8,1778177713.258,Stanga-Mijloc
0.1617,0.3349,154.5,1778177718.365,Stanga-Mijloc
0.2148,0.3087,140.6,1778177718.554,Stanga-Sus
0.2716,0.2767,128.9,1778177718.740,Stanga-Sus
0.4811,0.2303,141.2,1778177719.193,Centru-Sus
0.5250,0.2724,127.6,1778177719.377,Centru-Sus
0.5573,0.3461,142.2,1778177719.537,Centru
0.6159,0.5595,729.8,1778177719.850,Centru
0.5265,0.5549,2344.8,1778177720.615,Centru
0.5282,0.5091,1312.7,1778177722.993,Centru
0.5278,0.6029,485.5,1778177724.336,Centru
0.5326,0.5410,282.4,1778177724.851,Centru
0.5259,0.4229,2128.7,1778177725.289,Centru
