center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.4154,0.9549,1037.1,1776932769.017,Centru-Jos
0.4727,0.9097,144.9,1776932770.084,Centru-Jos
0.5308,0.8649,261.6,1776932770.274,Centru-Jos
0.5727,0.7968,237.1,1776932770.567,Centru-Jos
0.9921,0.2598,384.8,1776932771.528,Dreapta-Sus
0.9557,0.1914,160.4,1776932771.953,Dreapta-Sus
0.8947,0.1162,671.5,1776932772.143,Dreapta-Sus
0.9272,0.0429,1471.3,1776932772.849,Dreapta-Sus
0.9054,0.0432,560.5,1776932774.348,Dreapta-Sus
0.9443,0.0446,695.2,1776932774.967,Dreapta-Sus
0.9378,0.0856,436.9,1776932775.701,Dreapta-Sus
0.9730,0.0697,6739.0,1776932776.173,Dreapta-Sus
0.8592,0.0920,118.5,1776932783.064,Dreapta-Sus
0.6969,0.1195,112.6,1776932783.470,Dreapta-Sus
0.6300,0.1377,194.1,1776932783.617,Centru-Sus
0.5587,0.1314,415.3,1776932783.843,Centru-Sus
0.4976,0.1262,369.8,1776932784.289,Centru-Sus
0.4745,0.1991,194.9,1776932784.700,Centru-Sus
0.4965,0.2926,189.6,1776932784.929,Centru-Sus
0.5258,0.3873,143.0,1776932785.154,Centru
0.5564,0.4855,111.1,1776932785.342,Centru
0.5783,0.5781,190.4,1776932785.488,Centru
0.5591,0.6688,114.6,1776932785.712,Centru-Jos
0.5566,0.7701,149.3,1776932785.870,Centru-Jos
0.5407,0.8765,189.0,1776932786.053,Centru-Jos
0.5261,0.9760,4517.3,1776932786.274,Centru-Jos
0.5284,0.8711,334.0,1776932790.827,Centru-Jos
0.4924,0.7913,193.5,1776932791.206,Centru-Jos
0.4485,0.7541,109.4,1776932791.450,Centru-Jos
0.3309,0.7006,152.9,1776932791.715,Stânga-Jos
0.2304,0.6071,107.2,1776932792.036,Stânga-Mijloc
0.1430,0.5068,116.0,1776932792.259,Stânga-Mijloc
0.1086,0.4093,236.3,1776932792.414,Stânga-Mijloc
0.1126,0.3185,659.7,1776932792.684,Stânga-Sus
0.0523,0.3253,242.0,1776932793.375,Stânga-Sus
0.0232,0.3247,4591.7,1776932793.658,Stânga-Sus
0.0944,0.3121,180.0,1776932798.294,Stânga-Sus
0.1839,0.3007,102.1,1776932798.568,Stânga-Sus
0.8459,0.1682,112.6,1776932799.856,Dreapta-Sus
0.8821,0.1208,252.4,1776932800.011,Dreapta-Sus
0.8618,0.0171,535.4,1776932800.309,Dreapta-Sus
0.9152,0.0197,3142.6,1776932800.882,Dreapta-Sus
0.8605,0.0455,164.3,1776932804.055,Dreapta-Sus
0.8049,0.0943,195.5,1776932804.252,Dreapta-Sus
0.7655,0.1677,227.1,1776932804.470,Dreapta-Sus
0.7326,0.2437,307.3,1776932804.728,Dreapta-Sus
0.6975,0.3245,116.3,1776932805.060,Dreapta-Sus
0.6207,0.4503,111.5,1776932805.338,Centru
0.5712,0.5035,138.0,1776932805.483,Centru
0.5232,0.5536,151.8,1776932805.668,Centru
0.4577,0.5899,162.0,1776932805.846,Centru
0.3952,0.5904,218.4,1776932806.043,Centru
0.3474,0.5313,272.2,1776932806.295,Centru
0.3504,0.4358,227.2,1776932806.598,Centru
0.3868,0.3682,193.7,1776932806.845,Centru
0.4372,0.3302,185.2,1776932807.074,Centru-Sus
0.4935,0.3060,225.7,1776932807.296,Centru-Sus
0.5568,0.3155,173.0,1776932807.571,Centru-Sus
0.6121,0.3540,449.4,1776932807.795,Centru
0.5991,0.4293,256.2,1776932808.270,Centru
0.6465,0.4687,109.7,1776932808.583,Centru
0.6986,0.4904,110.4,1776932808.719,Dreapta-Mijloc
0.7594,0.5614,624.1,1776932808.865,Dreapta-Mijloc
0.6500,0.6090,108.9,1776932809.634,Centru
0.5822,0.6317,246.4,1776932809.793,Centru
0.5319,0.6500,541.5,1776932810.080,Centru
0.7594,0.6619,746.2,1776932810.962,Dreapta-Mijloc
0.7328,0.5666,421.7,1776932811.747,Dreapta-Mijloc
0.7752,0.5108,978.9,1776932812.187,Dreapta-Mijloc
0.7187,0.5846,717.5,1776932813.202,Dreapta-Mijloc
0.6832,0.6045,693.8,1776932813.963,Dreapta-Mijloc
0.6302,0.6458,223.5,1776932814.687,Centru
0.5963,0.6905,1119.6,1776932814.965,Centru-Jos
0.6194,0.7531,148.8,1776932816.109,Centru-Jos
0.6766,0.7368,103.2,1776932816.312,Dreapta-Jos
0.7374,0.7165,113.9,1776932816.445,Dreapta-Jos
0.7984,0.6906,169.0,1776932816.590,Dreapta-Jos
0.8393,0.6282,309.8,1776932816.782,Dreapta-Mijloc
0.7333,0.6760,113.1,1776932817.204,Dreapta-Jos
0.6992,0.6520,156.2,1776932817.345,Dreapta-Mijloc
0.7040,0.5511,108.2,1776932817.549,Dreapta-Mijloc
0.6743,0.4549,567.9,1776932817.680,Dreapta-Mijloc
0.7178,0.3360,443.0,1776932818.276,Dreapta-Mijloc
0.7354,0.2803,399.7,1776932818.767,Dreapta-Sus
0.9946,0.4010,468.4,1776932819.582,Dreapta-Mijloc
1.0000,0.4823,178.3,1776932820.072,Dreapta-Mijloc
0.9912,0.5670,117.2,1776932820.284,Dreapta-Mijloc
0.7770,0.8381,106.5,1776932820.861,Dreapta-Jos
0.6902,0.8242,1197.6,1776932820.994,Dreapta-Jos
0.6690,0.8555,2804.5,1776932822.218,Dreapta-Jos
