norm_x,norm_y,timestamp
0.3003,0.6292,1777032492.862
0.2233,0.5945,1777032492.879
0.2450,0.5772,1777032492.908
0.2526,0.5791,1777032492.963
0.2613,0.5791,1777032492.993
0.2743,0.5637,1777032493.021
0.2917,0.5424,1777032493.075
0.3003,0.5193,1777032493.101
0.3112,0.5058,1777032493.136
0.3199,0.5039,1777032493.188
0.3286,0.5039,1777032493.213
0.3362,0.5039,1777032493.247
0.3427,0.4961,1777032493.299
0.3459,0.4961,1777032493.326
0.3448,0.5193,1777032493.356
0.3427,0.5405,1777032493.410
0.3438,0.5675,1777032493.439
0.3470,0.5965,1777032493.475
0.3622,0.6022,1777032493.520
0.3817,0.5887,1777032493.554
0.4002,0.5559,1777032493.583
0.4143,0.5521,1777032493.633
0.4230,0.5502,1777032493.660
0.4154,0.5637,1777032493.694
0.4045,0.5810,1777032493.747
0.3958,0.5984,1777032493.774
0.3893,0.6177,1777032493.807
0.3872,0.6543,1777032493.836
0.3882,0.6929,1777032493.890
0.3926,0.7238,1777032493.917
0.3980,0.7431,1777032493.950
0.4067,0.7585,1777032494.004
0.4164,0.7778,1777032494.029
0.4295,0.8048,1777032494.064
0.4436,0.8337,1777032494.113
0.4555,0.8549,1777032494.140
0.4664,0.8781,1777032494.172
0.4750,0.8935,1777032494.225
0.4826,0.9205,1777032494.253
0.4913,0.9533,1777032494.285
0.5043,0.9861,1777032494.337
0.5206,1.0000,1777032494.367
0.5358,1.0000,1777032494.398
0.5521,1.0000,1777032494.450
0.5694,1.0000,1777032494.478
0.5792,1.0000,1777032494.508
0.5955,1.0000,1777032494.562
0.6074,1.0000,1777032494.591
0.6172,1.0000,1777032494.620
0.6259,1.0000,1777032494.673
0.6345,1.0000,1777032494.699
0.6454,1.0000,1777032494.732
0.6508,1.0000,1777032494.786
0.6530,1.0000,1777032494.812
0.6552,1.0000,1777032494.846
0.6552,1.0000,1777032494.893
0.6530,1.0000,1777032494.924
0.6530,1.0000,1777032494.958
0.6487,1.0000,1777032494.991
0.6443,1.0000,1777032495.037
0.6378,1.0000,1777032495.068
0.6324,1.0000,1777032495.100
0.6280,1.0000,1777032495.156
0.6226,1.0000,1777032495.182
0.6183,1.0000,1777032495.213
0.6139,1.0000,1777032495.267
0.6063,1.0000,1777032495.295
0.6020,1.0000,1777032495.327
0.5977,1.0000,1777032495.379
0.5933,1.0000,1777032495.404
0.5879,1.0000,1777032495.437
0.5890,1.0000,1777032495.559
0.5890,1.0000,1777032495.598
0.5944,1.0000,1777032495.638
0.5966,1.0000,1777032495.663
0.5998,1.0000,1777032495.687
0.6031,1.0000,1777032495.715
0.6053,1.0000,1777032495.740
0.6063,1.0000,1777032495.775
0.6085,1.0000,1777032495.824
0.6107,1.0000,1777032495.854
0.6128,1.0000,1777032495.887
0.6150,1.0000,1777032495.969
0.6150,1.0000,1777032495.996
0.6172,1.0000,1777032496.052
0.6172,0.9977,1777032496.077
0.6194,0.9919,1777032496.109
0.6215,0.9919,1777032496.138
0.6248,0.9900,1777032496.160
0.6237,0.9861,1777032496.190
0.6237,0.9842,1777032496.224
0.6204,0.9784,1777032496.267
0.6194,0.9726,1777032496.305
0.6194,0.9707,1777032496.336
0.6194,0.9707,1777032496.367
0.6183,0.9707,1777032496.426
0.6183,0.9688,1777032496.453
0.6183,0.9630,1777032496.481
0.6150,0.9610,1777032496.532
0.6172,0.9610,1777032496.558
0.6204,0.9688,1777032496.587
0.6172,1.0000,1777032496.642
0.6204,1.0000,1777032496.671
0.6194,1.0000,1777032496.701
0.6226,0.9803,1777032496.753
0.6226,0.9748,1777032496.784
0.6248,0.9745,1777032496.815
0.6302,0.9726,1777032496.923
0.6302,0.9745,1777032496.955
0.6356,0.9765,1777032496.994
0.6367,0.9803,1777032497.035
0.6389,0.9823,1777032497.074
0.6389,0.9861,1777032497.117
0.6400,0.9842,1777032497.162
0.6411,0.9842,1777032497.206
0.6389,0.9823,1777032497.254
0.6378,0.9823,1777032497.306
0.6237,0.9630,1777032497.372
0.6194,0.9475,1777032497.405
0.5998,0.9225,1777032497.441
0.5868,0.9070,1777032497.513
0.5760,0.8954,1777032497.547
0.5456,0.8569,1777032497.608
0.5206,0.8144,1777032497.653
0.4989,0.7739,1777032497.703
0.4783,0.7488,1777032497.762
0.4392,0.7025,1777032497.791
0.4273,0.6755,1777032497.818
0.4067,0.6505,1777032497.882
0.3915,0.6292,1777032497.925
0.3763,0.6138,1777032497.984
0.3481,0.5791,1777032498.035
0.3307,0.5637,1777032498.074
0.3112,0.5212,1777032498.133
0.2982,0.5096,1777032498.199
0.2862,0.4961,1777032498.266
0.2645,0.4730,1777032498.330
0.2385,0.4614,1777032498.389
0.2038,0.4576,1777032498.420
0.1908,0.4537,1777032498.482
0.1755,0.4480,1777032498.525
0.1615,0.4441,1777032498.575
0.1463,0.4286,1777032498.636
0.1387,0.4228,1777032498.665
0.1300,0.4113,1777032498.690
0.1235,0.3997,1777032498.745
0.1224,0.3939,1777032498.804
0.1246,0.3862,1777032498.836
0.1257,0.3785,1777032498.865
0.1257,0.3727,1777032498.917
0.1257,0.3630,1777032498.968
0.1267,0.3553,1777032499.007
0.1267,0.3341,1777032499.073
0.1224,0.3225,1777032499.108
