norm_x,norm_y,timestamp
0.2873,0.6736,1778176380.379
0.3448,0.5694,1778176380.409
0.3503,0.6331,1778176380.466
0.3546,0.5328,1778176380.561
0.3611,0.5521,1778176380.672
0.3665,0.5559,1778176380.756
0.3687,0.5231,1778176380.867
0.3752,0.5347,1778176380.959
0.3958,0.4961,1778176381.066
0.4382,0.4518,1778176381.162
0.4913,0.4074,1778176381.271
0.5412,0.3727,1778176381.376
0.5987,0.3245,1778176381.461
0.6411,0.2859,1778176381.558
0.6736,0.2531,1778176381.674
0.6964,0.2319,1778176381.759
0.7268,0.1779,1778176381.863
0.7637,0.1103,1778176381.962
0.8006,0.0448,1778176382.071
0.8288,0.0000,1778176382.170
0.8451,0.0000,1778176382.262
0.8559,0.0000,1778176382.359
0.8722,0.0000,1778176382.472
0.8874,0.0000,1778176382.569
0.8993,0.0000,1778176382.661
0.9080,0.0000,1778176382.761
0.9123,0.0000,1778176382.877
0.9199,0.0000,1778176382.971
0.9275,0.0000,1778176383.060
0.9286,0.0000,1778176383.156
0.9264,0.0000,1778176383.274
0.9156,0.0000,1778176383.371
0.9080,0.0000,1778176383.463
0.9015,0.0000,1778176383.559
0.9015,0.0000,1778176383.662
0.8971,0.0000,1778176383.771
0.8971,0.0000,1778176383.863
0.8961,0.0000,1778176383.959
0.8982,0.0000,1778176384.077
0.8971,0.0000,1778176384.167
0.9015,0.0000,1778176384.264
0.9058,0.0000,1778176384.365
0.9080,0.0000,1778176384.474
0.9123,0.0000,1778176384.571
0.9145,0.0000,1778176384.664
0.9167,0.0000,1778176384.759
0.9243,0.0000,1778176384.875
0.9275,0.0000,1778176384.969
0.9319,0.0004,1778176385.064
0.9319,0.0081,1778176385.168
0.9373,0.0081,1778176385.271
0.9329,0.0139,1778176385.372
0.9340,0.0177,1778176385.464
0.9297,0.0293,1778176385.562
0.9395,0.1103,1778176385.674
0.9340,0.0544,1778176385.767
0.9297,0.0293,1778176385.872
0.9329,0.0177,1778176385.960
0.9308,0.0139,1778176386.063
0.9286,0.0100,1778176386.159
0.9297,0.0100,1778176386.266
0.9243,0.0062,1778176386.367
0.9221,0.0042,1778176386.446
0.9232,0.0004,1778176386.563
0.9210,0.0000,1778176386.662
0.9200,0.0000,1778176386.763
0.9210,0.0000,1778176386.870
0.9232,0.0004,1778176386.964
0.9221,0.0004,1778176387.063
0.9209,0.0000,1778176387.168
0.9199,0.0023,1778176387.259
0.9210,0.0000,1778176387.371
0.9189,0.0005,1778176387.470
0.9210,0.0004,1778176387.560
0.9221,0.0004,1778176387.656
0.9232,0.0062,1778176387.766
0.9232,0.0062,1778176387.862
0.9243,0.0120,1778176387.958
0.9069,0.0216,1778176388.065
0.8917,0.0332,1778176388.171
0.8906,0.0409,1778176388.263
0.8874,0.0467,1778176388.360
0.8711,0.0486,1778176388.455
0.8407,0.0602,1778176388.567
0.8071,0.0621,1778176388.664
0.7745,0.0718,1778176388.755
0.7441,0.0891,1778176388.853
0.7105,0.1701,1778176388.965
0.6823,0.1798,1778176389.078
0.6454,0.1933,1778176389.164
0.6107,0.2222,1778176389.250
0.5693,0.2918,1778176389.368
0.5315,0.3167,1778176389.470
0.5109,0.3110,1778176389.556
0.4902,0.3360,1778176389.656
0.4685,0.3283,1778176389.768
0.4479,0.3380,1778176389.875
0.4327,0.3322,1778176389.965
0.4023,0.3302,1778176390.057
0.3850,0.3206,1778176390.167
0.3730,0.3167,1778176390.263
0.3600,0.3130,1778176390.359
0.3470,0.2994,1778176390.457
0.3340,0.2917,1778176390.574
0.3383,0.2859,1778176390.672
0.3286,0.2859,1778176390.768
0.3210,0.2801,1778176390.862
0.3177,0.2820,1778176390.968
0.3123,0.2859,1778176391.066
0.3123,0.2801,1778176391.158
0.3069,0.2820,1778176391.260
0.3047,0.2840,1778176391.368
0.3036,0.2724,1778176391.476
0.2993,0.2512,1778176391.568
0.3025,0.2377,1778176391.668
0.3025,0.2106,1778176391.776
0.3047,0.1894,1778176391.864
0.3036,0.1740,1778176391.966
0.3036,0.1566,1778176392.050
0.3058,0.1470,1778176392.171
0.3090,0.1335,1778176392.267
0.3134,0.1335,1778176392.361
0.3210,0.1258,1778176392.453
0.3307,0.1200,1778176392.570
0.3383,0.1224,1778176392.668
0.3459,0.1292,1778176392.767
0.3459,0.1316,1778176392.857
0.3513,0.1354,1778176392.965
0.3600,0.1412,1778176393.075
0.3676,0.1451,1778176393.155
0.3730,0.1547,1778176393.259
0.3785,0.1663,1778176393.368
0.3872,0.1817,1778176393.468
0.3980,0.1991,1778176393.568
0.4034,0.2106,1778176393.670
0.4110,0.2222,1778176393.774
0.4208,0.2203,1778176393.863
0.4414,0.2242,1778176393.961
0.4566,0.2299,1778176394.054
0.4664,0.2338,1778176394.176
0.4696,0.2377,1778176394.267
0.4794,0.2454,1778176394.359
0.5054,0.2531,1778176394.461
0.5315,0.2569,1778176394.576
0.5673,0.2627,1778176394.672
0.5933,0.2666,1778176394.767
0.6128,0.2743,1778176394.861
0.6291,0.2666,1778176394.980
0.6411,0.2743,1778176395.077
0.6476,0.2724,1778176395.177
0.6487,0.2685,1778176395.264
0.6487,0.2569,1778176395.371
0.6476,0.2454,1778176395.464
0.6454,0.2396,1778176395.561
0.6465,0.2319,1778176395.655
0.6508,0.2338,1778176395.750
0.6660,0.2299,1778176395.864
0.6823,0.2338,1778176395.963
0.7018,0.2377,1778176396.062
0.7269,0.2575,1778176396.153
0.7582,0.2704,1778176396.271
0.8113,0.2799,1778176396.353
