center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.3678,0.6148,721.4,1776933242.554,Centru
0.3315,0.6645,335.3,1776933243.312,Stânga-Mijloc
0.2731,0.6883,151.0,1776933243.684,Stânga-Jos
0.2118,0.7056,139.9,1776933243.873,Stânga-Jos
0.2643,0.7064,112.8,1776933244.150,Stânga-Jos
0.9994,0.4859,774.8,1776933244.906,Dreapta-Mijloc
1.0000,0.5307,396.6,1776933245.716,Dreapta-Mijloc
1.0000,0.6616,294.7,1776933246.150,Dreapta-Mijloc
1.0000,0.7494,165.5,1776933246.480,Dreapta-Jos
1.0000,0.6123,627.7,1776933246.698,Dreapta-Mijloc
0.4349,0.5887,145.5,1776933248.003,Centru
0.3852,0.5987,220.2,1776933248.184,Centru
0.3328,0.6003,130.6,1776933248.439,Stânga-Mijloc
0.2644,0.6145,536.4,1776933248.611,Stânga-Mijloc
0.2036,0.6038,147.1,1776933249.175,Stânga-Mijloc
0.0056,0.5902,537.2,1776933249.568,Stânga-Mijloc
0.0614,0.5845,169.1,1776933250.140,Stânga-Mijloc
0.1176,0.5889,495.0,1776933250.340,Stânga-Mijloc
0.1415,0.5817,674.2,1776933251.000,Stânga-Mijloc
0.2020,0.5687,172.9,1776933251.706,Stânga-Mijloc
0.4455,0.5810,103.5,1776933252.168,Centru
0.4953,0.5926,2015.1,1776933252.304,Centru
0.4525,0.5997,300.4,1776933254.358,Centru
0.4779,0.6271,302.4,1776933254.691,Centru
0.5355,0.5868,185.5,1776933255.024,Centru
0.5827,0.5685,818.5,1776933255.257,Centru
0.5454,0.5217,436.2,1776933256.117,Centru
0.4725,0.4644,880.3,1776933256.582,Centru
0.4309,0.4125,250.5,1776933257.503,Centru
0.4019,0.3381,456.9,1776933257.794,Centru
0.4403,0.2597,3734.2,1776933258.284,Centru-Sus
0.3760,0.2782,315.3,1776933262.058,Centru-Sus
0.0013,0.4186,570.8,1776933262.931,Stânga-Mijloc
0.0077,0.4645,340.7,1776933263.537,Stânga-Mijloc
0.0582,0.4675,167.9,1776933263.916,Stânga-Mijloc
0.1102,0.4630,132.7,1776933264.119,Stânga-Mijloc
0.1634,0.4863,782.2,1776933264.291,Stânga-Mijloc
0.1190,0.5571,865.3,1776933265.105,Stânga-Mijloc
0.0952,0.6774,1771.8,1776933266.012,Stânga-Jos
0.0797,0.7300,112.0,1776933267.823,Stânga-Jos
0.0810,0.7075,627.6,1776933268.089,Stânga-Jos
0.1292,0.7052,162.0,1776933268.754,Stânga-Jos
0.8309,0.6022,112.5,1776933269.764,Dreapta-Mijloc
0.8677,0.5850,484.8,1776933269.918,Dreapta-Mijloc
0.8088,0.5763,815.0,1776933270.439,Dreapta-Mijloc
0.4660,0.5209,590.7,1776933271.743,Centru
0.4626,0.5856,149.8,1776933272.369,Centru
0.2781,0.4629,442.0,1776933272.775,Stânga-Mijloc
0.3308,0.5092,110.0,1776933273.257,Stânga-Mijloc
0.2964,0.4590,522.9,1776933273.405,Stânga-Mijloc
0.3301,0.5127,222.3,1776933273.965,Stânga-Mijloc
0.3055,0.4544,1048.2,1776933274.223,Stânga-Mijloc
0.6786,0.4541,150.0,1776933275.758,Dreapta-Mijloc
0.7340,0.4637,147.6,1776933275.946,Dreapta-Mijloc
0.8029,0.4881,596.0,1776933276.131,Dreapta-Mijloc
0.7335,0.4865,153.4,1776933276.766,Dreapta-Mijloc
0.6647,0.5028,223.5,1776933276.956,Centru
0.6189,0.5019,146.3,1776933277.211,Centru
0.5693,0.4942,291.6,1776933277.395,Centru
0.5282,0.4390,149.5,1776933277.724,Centru
0.4871,0.3652,221.6,1776933277.910,Centru
0.4502,0.3081,113.0,1776933278.168,Centru-Sus
0.3946,0.2738,109.5,1776933278.319,Centru-Sus
0.3404,0.2238,152.3,1776933278.464,Centru-Sus
0.2936,0.1496,7968.3,1776933278.654,Stânga-Sus
0.3344,0.1852,147.7,1776933286.659,Centru-Sus
0.2994,0.1488,558.3,1776933286.849,Stânga-Sus
0.2514,0.1351,185.9,1776933287.444,Stânga-Sus
0.1435,0.1325,114.9,1776933287.779,Stânga-Sus
0.1082,0.1262,585.8,1776933287.934,Stânga-Sus
0.1468,0.0763,520.4,1776933288.556,Stânga-Sus
0.0033,0.0669,1195.7,1776933289.294,Stânga-Sus
0.0602,0.0767,7074.9,1776933290.526,Stânga-Sus
0.1910,0.1557,112.0,1776933297.751,Stânga-Sus
0.4892,0.4097,153.1,1776933298.310,Centru
0.4789,0.4762,1431.1,1776933298.501,Centru
0.4334,0.4639,1567.4,1776933299.975,Centru
