center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.9801,0.7016,261.6,1776933214.490,Dreapta-Jos
0.9055,0.6881,113.1,1776933214.785,Dreapta-Jos
0.7373,0.6180,173.6,1776933215.172,Dreapta-Mijloc
1.0000,0.1161,142.0,1776933215.983,Dreapta-Sus
0.9983,0.0067,620.5,1776933216.181,Dreapta-Sus
0.8388,0.0000,496.8,1776933217.026,Dreapta-Sus
0.9159,0.0014,635.2,1776933217.554,Dreapta-Sus
0.9120,0.0076,963.1,1776933218.222,Dreapta-Sus
0.8876,0.0710,330.0,1776933219.216,Dreapta-Sus
0.8992,0.1764,305.3,1776933219.581,Dreapta-Sus
0.7474,0.2632,122.7,1776933220.131,Dreapta-Sus
0.7118,0.3206,258.1,1776933220.302,Dreapta-Sus
0.7815,0.3884,222.9,1776933220.703,Dreapta-Mijloc
0.5201,0.1925,336.0,1776933221.262,Centru-Sus
0.5581,0.1277,111.2,1776933221.649,Centru-Sus
0.6538,0.1030,1201.6,1776933221.904,Centru-Sus
0.6061,0.0835,1234.9,1776933223.135,Centru-Sus
0.6218,0.0852,3646.6,1776933224.400,Centru-Sus
0.6409,0.1759,112.3,1776933228.078,Centru-Sus
0.7182,0.4503,108.3,1776933228.416,Dreapta-Mijloc
0.7194,0.5678,224.0,1776933228.579,Dreapta-Mijloc
0.6998,0.6493,149.8,1776933228.830,Dreapta-Mijloc
0.5301,0.7853,448.3,1776933229.198,Centru-Jos
0.5722,0.8349,148.6,1776933229.693,Centru-Jos
0.6362,0.8645,156.5,1776933229.874,Centru-Jos
0.6827,0.9762,673.0,1776933230.064,Dreapta-Jos
0.6274,0.9947,1286.2,1776933230.774,Centru-Jos
0.6351,0.9522,1453.6,1776933232.096,Centru-Jos
0.6413,0.9806,663.1,1776933233.582,Centru-Jos
0.6118,0.9263,146.9,1776933234.284,Centru-Jos
0.0045,0.4967,554.7,1776933235.480,Stânga-Mijloc
0.0518,0.4435,189.1,1776933236.072,Stânga-Mijloc
0.1160,0.3711,963.0,1776933236.297,Stânga-Mijloc
0.1278,0.2929,751.6,1776933237.296,Stânga-Sus
0.1264,0.2686,601.0,1776933238.149,Stânga-Sus
0.1564,0.3098,175.9,1776933238.792,Stânga-Sus
0.1298,0.2619,560.0,1776933239.006,Stânga-Sus
0.1618,0.3145,192.6,1776933239.606,Stânga-Sus
0.1269,0.2512,736.5,1776933239.836,Stânga-Sus
0.1617,0.2963,150.7,1776933240.616,Stânga-Sus
0.1225,0.2441,870.9,1776933240.806,Stânga-Sus
0.3830,0.3910,110.4,1776933242.104,Centru
0.3983,0.4969,273.9,1776933242.251,Centru
