norm_x,norm_y,timestamp
1.0000,0.0000,1777401546.834
0.4501,0.3534,1777401546.911
0.4501,0.3611,1777401546.946
0.4479,0.3650,1777401546.983
0.4501,0.3630,1777401547.015
0.4501,0.3630,1777401547.048
0.4523,0.3611,1777401547.093
0.4533,0.3611,1777401547.132
0.4555,0.3611,1777401547.173
0.4577,0.3688,1777401547.272
0.4588,0.3746,1777401547.326
0.4620,0.3765,1777401547.369
0.4653,0.3688,1777401547.452
0.4653,0.3746,1777401547.831
0.4664,0.3746,1777401548.138
0.4816,0.3245,1777401548.665
0.4772,0.3129,1777401548.726
0.4967,0.3090,1777401548.884
0.5640,0.2953,1777401549.602
0.5651,0.2955,1777401549.675
0.5716,0.3090,1777401549.804
0.5727,0.3088,1777401549.863
0.5738,0.3013,1777401549.903
0.5738,0.2995,1777401550.470
0.5738,0.3013,1777401551.096
0.5760,0.2955,1777401551.137
0.5684,0.2878,1777401551.184
0.5673,0.2820,1777401551.225
0.5662,0.2762,1777401551.277
0.5640,0.2762,1777401551.320
0.5651,0.2784,1777401551.363
0.5662,0.2859,1777401551.401
0.5673,0.2917,1777401551.441
0.5684,0.2936,1777401551.482
0.5684,0.2936,1777401551.715
0.5760,0.2994,1777401551.774
0.5781,0.3032,1777401551.833
0.5781,0.3032,1777401551.898
0.5781,0.3032,1777401551.936
0.5846,0.3264,1777401552.384
0.5868,0.3438,1777401552.723
0.5846,0.3148,1777401553.336
0.5760,0.3167,1777401553.417
0.5814,0.3341,1777401554.423
0.5825,0.3302,1777401554.465
0.5955,0.3457,1777401554.521
0.6074,0.3322,1777401554.564
0.6118,0.3592,1777401554.606
0.6150,0.3573,1777401554.643
0.6161,0.3515,1777401554.678
0.6194,0.3476,1777401554.711
0.6226,0.3399,1777401554.742
0.6270,0.3341,1777401554.780
0.6291,0.3341,1777401554.812
0.6324,0.3418,1777401554.848
0.6356,0.3438,1777401554.890
0.6356,0.3476,1777401554.928
0.6367,0.3418,1777401554.962
0.6378,0.3380,1777401555.003
0.6421,0.3322,1777401555.041
0.6476,0.3264,1777401555.084
0.6573,0.3283,1777401555.119
0.6682,0.3360,1777401555.152
0.6823,0.3399,1777401555.197
0.6942,0.3418,1777401555.237
0.7051,0.3341,1777401555.273
0.7148,0.3283,1777401555.307
0.7225,0.3227,1777401555.342
0.7279,0.3188,1777401555.374
0.7311,0.3245,1777401555.422
0.7376,0.3283,1777401555.455
0.7430,0.3301,1777401555.502
0.7474,0.3264,1777401555.536
0.7550,0.3187,1777401555.572
0.7615,0.3052,1777401555.613
0.7669,0.3013,1777401555.651
0.7734,0.3032,1777401555.689
0.7789,0.3052,1777401555.724
0.7854,0.3110,1777401555.760
0.7908,0.3167,1777401555.790
0.7995,0.3148,1777401555.839
0.8071,0.3148,1777401555.877
0.8147,0.3110,1777401555.918
0.8234,0.3052,1777401555.958
0.8342,0.3032,1777401555.990
0.8440,0.3090,1777401556.021
0.8570,0.3129,1777401556.048
0.8700,0.3206,1777401556.083
0.8830,0.3245,1777401556.129
0.8961,0.3206,1777401556.163
0.9112,0.3187,1777401556.196
0.9210,0.3148,1777401556.252
0.9286,0.3110,1777401556.281
0.9384,0.3110,1777401556.326
0.9443,0.3029,1777401556.360
0.9588,0.2823,1777401556.402
0.9644,0.2434,1777401556.440
0.9774,0.1914,1777401556.473
1.0000,0.1142,1777401556.504
1.0000,0.0370,1777401556.551
1.0000,0.0255,1777401556.588
1.0000,0.0467,1777401556.620
1.0000,0.0872,1777401556.668
1.0000,0.1103,1777401556.701
1.0000,0.1335,1777401556.736
1.0000,0.1451,1777401556.776
1.0000,0.1335,1777401556.806
1.0000,0.1026,1777401556.860
1.0000,0.0833,1777401556.895
1.0000,0.0718,1777401556.932
1.0000,0.0660,1777401556.965
1.0000,0.0563,1777401557.002
1.0000,0.0467,1777401557.034
1.0000,0.0428,1777401557.083
1.0000,0.0351,1777401557.114
1.0000,0.0255,1777401557.145
1.0000,0.0177,1777401557.189
1.0000,0.0139,1777401557.219
1.0000,0.0125,1777401557.269
1.0000,0.0062,1777401557.301
1.0000,0.0000,1777401557.336
1.0000,0.0000,1777401557.380
0.9948,0.0000,1777401557.413
0.9894,0.0000,1777401557.445
0.9818,0.0000,1777401557.489
0.9720,0.0000,1777401557.522
0.9655,0.0000,1777401557.552
0.9557,0.0000,1777401557.603
0.9481,0.0000,1777401557.632
0.9384,0.0000,1777401557.682
0.9297,0.0062,1777401557.719
0.9178,0.0158,1777401557.748
0.9102,0.0293,1777401557.791
0.9080,0.0370,1777401557.833
0.9058,0.0409,1777401557.860
0.9069,0.0448,1777401557.911
0.9080,0.0486,1777401557.942
0.9091,0.0486,1777401557.975
0.9134,0.0525,1777401558.023
0.9145,0.0583,1777401558.057
0.9123,0.0660,1777401558.090
0.9102,0.0756,1777401558.144
0.9036,0.0853,1777401558.174
0.8950,0.0968,1777401558.213
0.8841,0.0968,1777401558.245
0.8678,0.0968,1777401558.275
0.8525,0.0985,1777401558.322
0.8417,0.1024,1777401558.355
0.8320,0.1007,1777401558.392
0.8234,0.1026,1777401558.439
0.8156,0.1062,1777401558.467
0.8092,0.1103,1777401558.499
