center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.4561,0.3662,1227.1,1777401546.911,Centru
0.4852,0.3155,218.9,1777401548.665,Centru-Sus
0.5733,0.3017,4862.6,1777401549.602,Centru-Sus
0.6257,0.3421,562.7,1777401554.521,Centru
0.6814,0.3360,153.9,1777401555.119,Dreapta-Mijloc
0.7379,0.3225,306.3,1777401555.307,Dreapta-Sus
0.7896,0.3098,266.5,1777401555.651,Dreapta-Sus
0.8963,0.3198,168.2,1777401556.083,Dreapta-Sus
0.9425,0.3018,120.5,1777401556.281,Dreapta-Sus
1.0000,0.0491,117.0,1777401556.551,Dreapta-Sus
1.0000,0.0856,413.6,1777401556.701,Dreapta-Sus
0.9920,0.0063,407.5,1777401557.145,Dreapta-Sus
0.9192,0.0349,541.2,1777401557.603,Dreapta-Sus
0.8876,0.0939,100.9,1777401558.174,Dreapta-Sus
0.8255,0.1047,233.8,1777401558.322,Dreapta-Sus
0.7787,0.1400,380.3,1777401558.592,Dreapta-Sus
0.7647,0.0762,449.1,1777401559.007,Dreapta-Sus
0.8105,0.0359,158.6,1777401559.496,Dreapta-Sus
0.9069,0.0129,116.4,1777401559.804,Dreapta-Sus
0.9357,0.0389,674.4,1777401559.958,Dreapta-Sus
0.9095,0.0159,1596.2,1777401560.668,Dreapta-Sus
0.9248,0.0224,2046.4,1777401562.293,Dreapta-Sus
0.8928,0.1086,315.4,1777401564.380,Dreapta-Sus
0.7946,0.0891,107.3,1777401564.840,Dreapta-Sus
0.7359,0.1053,165.1,1777401564.983,Dreapta-Sus
0.6776,0.1200,178.6,1777401565.188,Dreapta-Sus
0.6150,0.0836,522.9,1777401565.408,Centru-Sus
0.6324,0.0006,1297.6,1777401565.973,Centru-Sus
0.9235,0.1176,976.5,1777401567.714,Dreapta-Sus
0.9480,0.0676,191.2,1777401568.736,Dreapta-Sus
0.3922,0.1766,1069.7,1777401571.468,Centru-Sus
0.1550,0.3885,1833.0,1777401574.528,Stanga-Mijloc
0.1488,0.4698,377.3,1777401576.395,Stanga-Mijloc
0.0903,0.9958,963.0,1777401577.042,Stanga-Jos
0.1080,0.8767,757.1,1777401578.057,Stanga-Jos
0.0527,0.8303,114.6,1777401578.855,Stanga-Jos
0.0137,0.8292,1491.3,1777401579.007,Stanga-Jos
0.0310,0.8449,1308.1,1777401580.537,Stanga-Jos
0.0321,0.8513,3167.7,1777401581.876,Stanga-Jos
0.0860,0.8067,1073.7,1777401586.050,Stanga-Jos
0.0169,0.7394,259.0,1777401588.230,Stanga-Jos
0.0033,0.9914,336.6,1777401588.687,Stanga-Jos
0.3438,0.0000,221.7,1777401589.719,Centru-Sus
0.3937,0.0000,131.6,1777401590.109,Centru-Sus
0.6240,0.0611,101.4,1777401590.493,Centru-Sus
0.6709,0.1002,107.7,1777401590.638,Dreapta-Sus
0.7215,0.0896,485.7,1777401590.789,Dreapta-Sus
0.7815,0.0581,412.0,1777401591.313,Dreapta-Sus
0.8253,0.0318,638.1,1777401591.766,Dreapta-Sus
0.8205,0.0747,190.3,1777401592.443,Dreapta-Sus
0.8175,0.0046,931.1,1777401592.674,Dreapta-Sus
0.8286,0.0150,1089.6,1777401593.637,Dreapta-Sus
0.8180,0.0283,1442.8,1777401594.756,Dreapta-Sus
0.7611,0.1802,446.6,1777401596.501,Dreapta-Sus
0.7298,0.2797,157.9,1777401596.982,Dreapta-Sus
0.6967,0.3471,118.1,1777401597.173,Dreapta-Mijloc
0.6449,0.4904,114.3,1777401597.431,Centru
0.6306,0.6087,192.7,1777401597.587,Centru
0.6246,0.8546,142.7,1777401598.004,Centru-Jos
0.6937,0.8385,989.1,1777401598.183,Dreapta-Jos
0.6471,0.9225,146.5,1777401599.205,Centru-Jos
0.6035,0.9985,672.7,1777401599.395,Centru-Jos
0.6538,0.9209,864.4,1777401600.101,Centru-Jos
0.6435,0.8996,673.2,1777401601.011,Centru-Jos
0.6376,0.7965,606.3,1777401601.718,Centru-Jos
0.6430,0.9009,751.8,1777401602.357,Centru-Jos
0.6021,0.9954,3077.5,1777401603.156,Centru-Jos
0.6311,0.9406,295.2,1777401606.292,Centru-Jos
0.6294,0.8371,149.7,1777401606.634,Centru-Jos
0.6232,0.7125,242.8,1777401606.819,Centru-Jos
0.6143,0.6305,102.9,1777401607.132,Centru
0.6067,0.5209,220.6,1777401607.314,Centru
0.6002,0.4086,386.8,1777401607.573,Centru
0.6900,0.2930,288.3,1777401608.118,Dreapta-Sus
0.7394,0.2598,896.2,1777401608.453,Dreapta-Sus
0.7709,0.1970,351.2,1777401609.381,Dreapta-Sus
0.7742,0.0862,188.1,1777401609.767,Dreapta-Sus
0.7866,0.0021,414.2,1777401609.989,Dreapta-Sus
0.8329,0.0594,754.8,1777401610.436,Dreapta-Sus
0.8181,0.0544,4750.8,1777401611.221,Dreapta-Sus
0.8401,0.0393,699.4,1777401616.017,Dreapta-Sus
0.9679,0.1971,141.5,1777401616.953,Dreapta-Sus
1.0000,0.2319,202.8,1777401617.136,Dreapta-Sus
0.9932,0.2852,205.2,1777401617.376,Dreapta-Sus
0.9979,0.1775,157.8,1777401617.620,Dreapta-Sus
0.9999,0.1463,1032.5,1777401617.820,Dreapta-Sus
0.3341,0.6419,493.4,1777401619.824,Centru
0.2819,0.6451,150.7,1777401620.358,Stanga-Mijloc
0.2719,0.7188,157.2,1777401620.541,Stanga-Jos
0.3396,0.6821,161.8,1777401620.729,Centru-Jos
0.6283,0.1750,104.9,1777401622.202,Centru-Sus
0.6322,0.3859,182.8,1777401622.419,Centru
0.6344,0.3550,2767.5,1777401622.657,Centru
