norm_x,norm_y,timestamp
0.9815,0.7045,1776933214.490
0.9761,0.7045,1776933214.502
0.9820,0.7011,1776933214.521
0.9815,0.6987,1776933214.555
0.9820,0.7011,1776933214.594
0.9815,0.7025,1776933214.636
0.9815,0.7025,1776933214.667
0.9815,0.7025,1776933214.701
0.9734,0.6968,1776933214.752
0.9300,0.6968,1776933214.785
0.9110,0.6871,1776933214.814
0.8974,0.6871,1776933214.869
0.8838,0.6813,1776933214.898
0.8675,0.6775,1776933214.929
0.8458,0.6736,1776933214.981
0.8241,0.6640,1776933215.007
0.8051,0.6620,1776933215.059
0.7780,0.6543,1776933215.088
0.7534,0.6484,1776933215.118
0.7291,0.6408,1776933215.172
0.7182,0.6331,1776933215.200
0.7454,0.6273,1776933215.231
0.7454,0.6138,1776933215.283
0.7427,0.6042,1776933215.311
0.7427,0.5887,1776933215.346
0.7535,0.5694,1776933215.395
0.7644,0.5521,1776933215.428
0.7834,0.5309,1776933215.456
0.8024,0.5116,1776933215.508
0.8105,0.4904,1776933215.534
0.8323,0.4691,1776933215.565
0.8567,0.4441,1776933215.619
0.8811,0.4209,1776933215.648
0.9083,0.3958,1776933215.674
0.9354,0.3727,1776933215.735
0.9788,0.3476,1776933215.759
1.0000,0.3187,1776933215.789
1.0000,0.2917,1776933215.845
1.0000,0.2627,1776933215.873
1.0000,0.2357,1776933215.903
1.0000,0.1991,1776933215.956
1.0000,0.1663,1776933215.983
1.0000,0.1393,1776933216.016
1.0000,0.1123,1776933216.069
1.0000,0.0910,1776933216.094
1.0000,0.0718,1776933216.125
1.0000,0.0544,1776933216.181
1.0000,0.0370,1776933216.203
1.0000,0.0235,1776933216.243
1.0000,0.0062,1776933216.290
1.0000,0.0000,1776933216.321
1.0000,0.0000,1776933216.353
1.0000,0.0000,1776933216.402
1.0000,0.0000,1776933216.429
1.0000,0.0000,1776933216.465
1.0000,0.0000,1776933216.518
1.0000,0.0000,1776933216.543
1.0000,0.0000,1776933216.576
1.0000,0.0000,1776933216.626
1.0000,0.0000,1776933216.654
1.0000,0.0000,1776933216.689
1.0000,0.0000,1776933216.738
0.9924,0.0000,1776933216.766
0.9761,0.0000,1776933216.802
0.9625,0.0000,1776933216.850
0.9463,0.0000,1776933216.879
0.9273,0.0000,1776933216.915
0.9110,0.0000,1776933216.963
0.8865,0.0000,1776933216.992
0.8621,0.0000,1776933217.026
0.8485,0.0000,1776933217.076
0.8350,0.0000,1776933217.106
0.8268,0.0000,1776933217.135
0.8268,0.0000,1776933217.181
0.8241,0.0000,1776933217.219
0.8241,0.0000,1776933217.247
0.8241,0.0000,1776933217.299
0.8268,0.0000,1776933217.326
0.8350,0.0000,1776933217.358
0.8404,0.0000,1776933217.413
0.8458,0.0000,1776933217.441
0.8567,0.0000,1776933217.474
0.8675,0.0000,1776933217.522
0.8757,0.0000,1776933217.554
0.8865,0.0000,1776933217.585
0.8974,0.0000,1776933217.636
0.9083,0.0000,1776933217.664
0.9191,0.0000,1776933217.698
0.9191,0.0000,1776933217.750
0.9273,0.0000,1776933217.775
0.9273,0.0000,1776933217.805
0.9273,0.0000,1776933217.859
0.9273,0.0000,1776933217.885
0.9273,0.0000,1776933217.921
0.9245,0.0000,1776933217.971
0.9245,0.0000,1776933218.000
0.9191,0.0000,1776933218.049
0.9245,0.0000,1776933218.079
0.9191,0.0000,1776933218.113
0.9191,0.0000,1776933218.161
0.9137,0.0255,1776933218.190
0.8974,0.0467,1776933218.222
0.8893,0.0274,1776933218.276
0.9137,0.0081,1776933218.306
0.9137,0.0000,1776933218.364
0.9137,0.0000,1776933218.391
0.9164,0.0000,1776933218.420
0.9164,0.0000,1776933218.458
0.9191,0.0000,1776933218.507
0.9164,0.0000,1776933218.539
0.9164,0.0000,1776933218.576
0.9137,0.0000,1776933218.621
0.9191,0.0000,1776933218.656
0.9191,0.0000,1776933218.681
0.9218,0.0000,1776933218.732
0.9191,0.0000,1776933218.766
0.9191,0.0000,1776933218.804
0.9191,0.0000,1776933218.851
0.9191,0.0000,1776933218.873
0.9164,0.0000,1776933218.898
0.9110,0.0004,1776933218.957
0.9110,0.0081,1776933218.989
0.9110,0.0120,1776933219.015
0.9001,0.0177,1776933219.073
0.9001,0.0216,1776933219.104
0.9028,0.0274,1776933219.137
0.8974,0.0293,1776933219.185
0.8838,0.0390,1776933219.216
0.8838,0.0448,1776933219.242
0.8838,0.0525,1776933219.295
0.8838,0.0563,1776933219.326
0.8838,0.0602,1776933219.360
0.8865,0.0698,1776933219.406
0.8893,0.0795,1776933219.438
0.8947,0.0872,1776933219.470
0.8920,0.1026,1776933219.517
0.8947,0.1181,1776933219.546
0.8947,0.1258,1776933219.581
0.9001,0.1393,1776933219.629
0.9028,0.1508,1776933219.661
0.9028,0.1644,1776933219.695
0.9028,0.1798,1776933219.740
0.9055,0.1933,1776933219.774
0.9028,0.2029,1776933219.800
0.8947,0.2126,1776933219.854
0.8865,0.2184,1776933219.886
0.8727,0.2239,1776933219.919
0.8567,0.2434,1776933219.966
0.8377,0.2473,1776933219.999
0.8214,0.2550,1776933220.030
0.8024,0.2550,1776933220.078
0.7888,0.2589,1776933220.110
0.7698,0.2589,1776933220.131
0.7563,0.2589,1776933220.191
0.7373,0.2647,1776933220.222
0.7264,0.2704,1776933220.254
0.7155,0.2762,1776933220.302
0.7074,0.2897,1776933220.333
0.7074,0.2994,1776933220.359
0.7128,0.3148,1776933220.414
0.7101,0.3264,1776933220.446
0.7101,0.3399,1776933220.477
0.7128,0.3534,1776933220.524
0.7182,0.3650,1776933220.560
0.7291,0.3765,1776933220.593
0.7454,0.3881,1776933220.627
0.7617,0.3978,1776933220.670
0.7807,0.4035,1776933220.703
0.7834,0.4093,1776933220.750
0.7780,0.3958,1776933220.781
0.7861,0.3900,1776933220.815
0.7915,0.3843,1776933220.861
0.7807,0.3746,1776933220.894
0.7698,0.3611,1776933220.926
0.7454,0.3380,1776933220.973
0.7318,0.3148,1776933221.008
0.7020,0.2994,1776933221.035
0.6775,0.2801,1776933221.079
0.6504,0.2666,1776933221.119
0.6232,0.2569,1776933221.147
0.6015,0.2473,1776933221.191
0.5771,0.2415,1776933221.225
0.5581,0.2338,1776933221.262
0.5364,0.2242,1776933221.311
0.5228,0.2164,1776933221.344
0.5120,0.2068,1776933221.376
0.5038,0.1991,1776933221.425
0.5038,0.1894,1776933221.455
0.5092,0.1798,1776933221.486
0.5092,0.1682,1776933221.537
0.5201,0.1586,1776933221.567
0.5255,0.1489,1776933221.598
0.5364,0.1373,1776933221.649
0.5500,0.1296,1776933221.678
0.5662,0.1238,1776933221.708
0.5798,0.1200,1776933221.760
0.6015,0.1142,1776933221.794
0.6178,0.1103,1776933221.818
0.6314,0.1103,1776933221.874
0.6504,0.1103,1776933221.904
0.6612,0.1084,1776933221.937
0.6721,0.1084,1776933221.983
0.6802,0.1084,1776933222.014
0.6830,0.1084,1776933222.048
0.6884,0.1084,1776933222.096
0.6830,0.1065,1776933222.126
0.6830,0.1065,1776933222.159
0.6802,0.1046,1776933222.209
0.6748,0.1065,1776933222.240
0.6694,0.1065,1776933222.270
0.6640,0.1065,1776933222.318
0.6585,0.1026,1776933222.348
0.6531,0.1026,1776933222.382
0.6531,0.1026,1776933222.430
0.6422,0.1026,1776933222.460
0.6422,0.1026,1776933222.489
0.6422,0.1026,1776933222.542
0.6422,0.1026,1776933222.574
0.6395,0.1046,1776933222.606
0.6422,0.1026,1776933222.657
0.6422,0.1026,1776933222.691
0.6422,0.1026,1776933222.719
0.6422,0.1065,1776933222.768
0.6422,0.1026,1776933222.801
0.6422,0.1026,1776933222.824
0.6422,0.1026,1776933222.879
0.6422,0.1026,1776933222.912
0.6422,0.0949,1776933222.943
0.6395,0.0949,1776933222.991
0.6341,0.0949,1776933223.019
0.6314,0.0910,1776933223.053
0.6260,0.0872,1776933223.105
0.6178,0.0872,1776933223.135
0.6151,0.0833,1776933223.165
0.6070,0.0833,1776933223.219
0.6015,0.0833,1776933223.253
0.5934,0.0833,1776933223.278
0.5934,0.0833,1776933223.329
0.5934,0.0833,1776933223.355
0.5907,0.0833,1776933223.389
0.5934,0.0833,1776933223.425
0.5934,0.0833,1776933223.457
0.5934,0.0833,1776933223.491
0.5934,0.0833,1776933223.553
0.5934,0.0833,1776933223.582
0.5934,0.0833,1776933223.615
0.5934,0.0833,1776933223.663
0.6015,0.0833,1776933223.695
0.6042,0.0833,1776933223.721
0.6070,0.0833,1776933223.778
0.6070,0.0833,1776933223.812
0.6097,0.0833,1776933223.845
0.6124,0.0833,1776933223.889
0.6151,0.0833,1776933223.918
0.6151,0.0833,1776933223.949
0.6178,0.0833,1776933224.001
0.6178,0.0853,1776933224.031
0.6178,0.0833,1776933224.064
0.6151,0.0833,1776933224.113
0.6151,0.0833,1776933224.136
0.6124,0.0833,1776933224.177
0.6124,0.0833,1776933224.223
0.6151,0.0833,1776933224.256
0.6151,0.0833,1776933224.288
0.6151,0.0795,1776933224.336
0.6151,0.0872,1776933224.370
0.6178,0.1373,1776933224.400
0.6124,0.1451,1776933224.446
0.6070,0.1296,1776933224.481
0.6097,0.1046,1776933224.516
0.6151,0.0968,1776933224.562
0.6124,0.0872,1776933224.610
0.6151,0.0833,1776933224.623
0.6151,0.0833,1776933224.651
0.6151,0.0833,1776933224.684
0.6151,0.0833,1776933224.722
0.6151,0.0833,1776933224.768
0.6178,0.0833,1776933224.801
0.6205,0.0833,1776933224.830
0.6178,0.0833,1776933224.884
0.6205,0.0833,1776933224.931
0.6205,0.0795,1776933224.946
0.6260,0.0795,1776933224.991
0.6314,0.0795,1776933225.023
