center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.2513,0.5787,142.0,1777032492.879,Stanga-Mijloc
0.3264,0.5131,335.6,1777032493.075,Stanga-Mijloc
0.3587,0.5887,114.8,1777032493.439,Centru
0.4089,0.5669,191.0,1777032493.583,Centru
0.3964,0.7296,113.9,1777032493.890,Centru-Jos
0.4601,0.8651,111.5,1777032494.113,Centru-Jos
0.5741,1.0000,112.0,1777032494.450,Centru-Jos
0.6351,1.0000,703.7,1777032494.591,Centru-Jos
0.6173,0.9860,2078.4,1777032495.327,Centru-Jos
0.5875,0.9083,105.8,1777032497.441,Centru-Jos
0.3915,0.6312,102.3,1777032497.882,Centru
0.2985,0.5090,133.8,1777032498.133,Stanga-Mijloc
0.1829,0.4508,155.4,1777032498.420,Stanga-Mijloc
0.1289,0.3912,370.8,1777032498.636,Stanga-Mijloc
0.1210,0.2716,601.5,1777032499.073,Stanga-Sus
0.1114,0.1863,332.7,1777032499.731,Stanga-Sus
0.0872,0.1075,184.4,1777032500.131,Stanga-Sus
0.0410,0.0630,918.3,1777032500.343,Stanga-Sus
0.0622,0.0684,5763.8,1777032501.297,Stanga-Sus
0.0674,0.5662,106.9,1777032507.555,Stanga-Mijloc
0.0842,0.7176,185.5,1777032507.688,Stanga-Jos
0.0995,0.7747,8126.7,1777032507.935,Stanga-Jos
0.1636,0.7406,141.2,1777032516.090,Stanga-Jos
0.4219,0.5521,104.6,1777032516.579,Centru
0.7684,0.2172,345.6,1777032517.222,Dreapta-Sus
0.8227,0.2365,177.0,1777032517.608,Dreapta-Sus
0.8203,0.3414,168.5,1777032517.859,Dreapta-Mijloc
0.7496,0.3682,108.4,1777032518.079,Dreapta-Mijloc
0.4967,0.6235,118.6,1777032518.492,Centru
0.4850,0.8375,3020.2,1777032518.679,Centru-Jos
