center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.5312,0.2551,4028.0,1777029439.194,Centru-Sus
0.8912,0.0000,124.5,1777029443.814,Dreapta-Sus
0.9488,0.0009,746.8,1777029443.963,Dreapta-Sus
0.9049,0.0221,340.7,1777029444.746,Dreapta-Sus
0.9094,0.0358,855.4,1777029445.130,Dreapta-Sus
0.9130,0.0312,591.3,1777029446.024,Dreapta-Sus
0.9137,0.0380,634.2,1777029446.651,Dreapta-Sus
0.9089,0.0624,220.9,1777029447.329,Dreapta-Sus
0.9009,0.0376,377.6,1777029447.600,Dreapta-Sus
0.7962,0.2642,113.6,1777029448.233,Dreapta-Sus
0.7626,0.3394,111.3,1777029448.386,Dreapta-Mijloc
0.7346,0.4161,112.2,1777029448.534,Dreapta-Mijloc
0.7094,0.5143,152.1,1777029448.682,Dreapta-Mijloc
0.6859,0.6247,194.4,1777029448.864,Dreapta-Mijloc
0.6671,0.7206,191.0,1777029449.093,Dreapta-Jos
0.6491,0.8191,303.3,1777029449.317,Centru-Jos
0.6432,0.9229,307.4,1777029449.660,Centru-Jos
0.6467,0.9909,597.4,1777029449.997,Centru-Jos
0.6070,0.9591,1715.6,1777029450.628,Centru-Jos
0.6346,0.9872,1338.1,1777029452.383,Centru-Jos
0.5043,0.4016,134.0,1777029454.475,Centru
0.4812,0.2364,452.9,1777029454.939,Centru-Sus
0.4508,0.1721,407.9,1777029455.706,Centru-Sus
0.4993,0.1794,902.7,1777029456.149,Centru-Sus
0.4773,0.2738,2656.9,1777029457.184,Centru-Sus
0.5172,0.0306,849.7,1777029459.975,Centru-Sus
0.4946,0.0224,419.6,1777029460.992,Centru-Sus
0.4063,0.0107,158.8,1777029461.450,Centru-Sus
0.3346,0.0484,857.5,1777029461.731,Centru-Sus
0.2899,0.1052,284.6,1777029462.631,Stanga-Sus
0.2484,0.0850,1789.4,1777029463.059,Stanga-Sus
0.2947,0.0580,4718.7,1777029464.987,Stanga-Sus
0.2913,0.0635,5354.1,1777029469.777,Stanga-Sus
0.2989,0.0719,1036.4,1777029475.190,Stanga-Sus
0.3101,0.0685,1360.9,1777029476.273,Stanga-Sus
