norm_x,norm_y,timestamp
0.4360,0.9456,1776932769.017
0.4078,0.9630,1776932769.041
0.4078,0.9630,1776932769.082
0.4089,0.9630,1776932769.107
0.4099,0.9630,1776932769.136
0.4089,0.9630,1776932769.175
0.4099,0.9630,1776932769.213
0.4099,0.9630,1776932769.253
0.4099,0.9630,1776932769.300
0.4099,0.9630,1776932769.333
0.4089,0.9630,1776932769.363
0.4067,0.9630,1776932769.413
0.4067,0.9630,1776932769.444
0.4078,0.9610,1776932769.475
0.4067,0.9610,1776932769.525
0.4078,0.9591,1776932769.556
0.4099,0.9552,1776932769.604
0.4132,0.9533,1776932769.639
0.4132,0.9514,1776932769.668
0.4154,0.9514,1776932769.717
0.4154,0.9514,1776932769.751
0.4175,0.9475,1776932769.782
0.4175,0.9456,1776932769.828
0.4197,0.9456,1776932769.860
0.4230,0.9456,1776932769.892
0.4295,0.9456,1776932769.943
0.4316,0.9417,1776932769.975
0.4360,0.9417,1776932770.005
0.4425,0.9340,1776932770.054
0.4533,0.9263,1776932770.084
0.4631,0.9167,1776932770.126
0.4718,0.9070,1776932770.165
0.4826,0.9032,1776932770.194
0.4924,0.8954,1776932770.229
0.5033,0.8858,1776932770.274
0.5152,0.8762,1776932770.306
0.5228,0.8742,1776932770.343
0.5315,0.8665,1776932770.391
0.5380,0.8646,1776932770.423
0.5423,0.8569,1776932770.456
0.5445,0.8513,1776932770.501
0.5488,0.8436,1776932770.535
0.5651,0.8356,1776932770.567
0.5694,0.8221,1776932770.615
0.5705,0.8144,1776932770.646
0.5716,0.8009,1776932770.678
0.5738,0.7855,1776932770.724
0.5770,0.7662,1776932770.758
0.5814,0.7527,1776932770.804
0.5879,0.7276,1776932770.837
0.5977,0.6968,1776932770.871
0.6085,0.6640,1776932770.915
0.6204,0.6331,1776932770.949
0.6345,0.6003,1776932770.983
0.6497,0.5675,1776932771.028
0.6649,0.5347,1776932771.061
0.6812,0.5019,1776932771.096
0.7018,0.4711,1776932771.142
0.7224,0.4267,1776932771.173
0.7441,0.3997,1776932771.207
0.7691,0.3804,1776932771.256
0.7919,0.3630,1776932771.288
0.8190,0.3457,1776932771.321
0.8429,0.3322,1776932771.366
0.8689,0.3167,1776932771.398
0.8917,0.3071,1776932771.422
0.9210,0.2994,1776932771.465
0.9438,0.2936,1776932771.498
0.9633,0.2859,1776932771.528
0.9785,0.2840,1776932771.588
0.9905,0.2782,1776932771.616
0.9993,0.2769,1776932771.648
1.0000,0.2743,1776932771.699
1.0000,0.2685,1776932771.728
1.0000,0.2608,1776932771.758
1.0000,0.2512,1776932771.809
1.0000,0.2377,1776932771.842
0.9948,0.2261,1776932771.869
0.9872,0.2145,1776932771.913
0.9774,0.2106,1776932771.953
0.9644,0.2010,1776932771.982
0.9557,0.1914,1776932772.034
0.9460,0.1817,1776932772.065
0.9351,0.1721,1776932772.113
0.9243,0.1644,1776932772.143
0.9156,0.1566,1776932772.176
0.9069,0.1528,1776932772.227
0.8982,0.1451,1776932772.259
0.8917,0.1412,1776932772.292
0.8863,0.1354,1776932772.337
0.8830,0.1258,1776932772.364
0.8798,0.1200,1776932772.400
0.8809,0.1123,1776932772.450
0.8809,0.1084,1776932772.482
0.8819,0.1046,1776932772.513
0.8863,0.1026,1776932772.563
0.8885,0.1007,1776932772.591
0.8906,0.0988,1776932772.622
0.8917,0.0910,1776932772.676
0.8950,0.0910,1776932772.705
0.8993,0.0872,1776932772.731
0.9058,0.0872,1776932772.784
0.9134,0.0833,1776932772.814
