center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.1183,0.0000,461.5,1778178583.645,Stanga-Sus
0.0855,0.0010,272.4,1778178584.168,Stanga-Sus
0.2019,0.0096,161.8,1778178584.567,Stanga-Sus
0.5170,0.0000,289.2,1778178585.241,Centru-Sus
0.5765,0.0000,288.2,1778178585.576,Centru-Sus
0.9986,0.0000,1678.6,1778178586.215,Dreapta-Sus
0.8533,0.0000,382.4,1778178588.233,Dreapta-Sus
0.9330,0.0004,1761.6,1778178588.679,Dreapta-Sus
0.9118,0.0103,447.9,1778178590.657,Dreapta-Sus
0.7843,0.0454,119.3,1778178591.266,Dreapta-Sus
0.4814,0.3115,269.7,1778178592.018,Centru-Sus
0.4291,0.3379,982.9,1778178592.344,Centru
0.3756,0.3110,116.6,1778178593.371,Centru-Sus
0.3251,0.3095,1186.1,1778178593.542,Stanga-Sus
0.3714,0.2772,172.5,1778178594.778,Centru-Sus
0.4292,0.2502,161.4,1778178594.999,Centru-Sus
0.4775,0.1758,2155.4,1778178595.225,Centru-Sus
0.0000,0.6868,227.5,1778178599.279,Stanga-Jos
0.0035,0.1634,115.3,1778178599.777,Stanga-Sus
0.2231,0.6860,165.8,1778178600.366,Stanga-Jos
0.2222,0.2073,230.4,1778178601.102,Stanga-Sus
0.2581,0.2195,1704.9,1778178601.384,Stanga-Sus
0.2413,0.2945,1540.1,1778178603.120,Stanga-Sus
0.1830,0.2991,173.9,1778178604.712,Stanga-Sus
0.1213,0.2960,964.5,1778178604.941,Stanga-Sus
0.6138,0.2320,973.8,1778178606.540,Centru-Sus
0.6375,0.1849,386.8,1778178607.538,Centru-Sus
0.5787,0.1545,255.1,1778178607.960,Centru-Sus
0.5226,0.1003,343.5,1778178608.265,Centru-Sus
0.4682,0.0757,636.3,1778178608.641,Centru-Sus
0.4787,0.1695,199.5,1778178609.306,Centru-Sus
0.4693,0.2656,108.7,1778178609.532,Centru-Sus
0.4680,0.3674,111.9,1778178609.675,Centru
0.4653,0.4470,852.7,1778178609.834,Centru
0.5044,0.3970,502.8,1778178610.736,Centru
0.5051,0.4732,2969.8,1778178611.288,Centru
