norm_x,norm_y,timestamp
0.5304,0.2145,1777029439.031
0.5119,0.3013,1777029439.194
0.5076,0.3052,1777029439.754
0.4989,0.3013,1777029439.807
0.4935,0.3090,1777029440.095
0.4957,0.3071,1777029440.143
0.4989,0.3090,1777029440.181
0.4989,0.3071,1777029440.231
0.4989,0.3071,1777029440.274
0.5022,0.3013,1777029440.326
0.5163,0.2724,1777029440.364
0.5195,0.2569,1777029440.400
0.5184,0.2589,1777029440.443
0.5195,0.2589,1777029440.487
0.5195,0.2608,1777029440.558
0.5195,0.2589,1777029440.584
0.5195,0.2589,1777029440.619
0.5228,0.2589,1777029440.651
0.5217,0.2569,1777029440.684
0.5239,0.2569,1777029440.714
0.5228,0.2569,1777029440.761
0.5228,0.2589,1777029440.794
0.5217,0.2589,1777029440.826
0.5228,0.2569,1777029440.871
0.5217,0.2569,1777029440.905
0.5228,0.2569,1777029440.938
0.5217,0.2550,1777029440.982
0.5228,0.2569,1777029441.016
0.5217,0.2569,1777029441.063
0.5195,0.2550,1777029441.106
0.5206,0.2569,1777029441.131
0.5206,0.2569,1777029441.160
0.5206,0.2569,1777029441.208
0.5206,0.2569,1777029441.238
0.5206,0.2569,1777029441.272
0.5217,0.2531,1777029441.319
0.5217,0.2512,1777029441.353
0.5228,0.2512,1777029441.384
0.5239,0.2512,1777029441.429
0.5239,0.2512,1777029441.464
0.5282,0.2512,1777029441.495
0.5326,0.2512,1777029441.543
0.5358,0.2473,1777029441.576
0.5391,0.2473,1777029441.608
0.5412,0.2454,1777029441.654
0.5423,0.2454,1777029441.686
0.5434,0.2454,1777029441.717
0.5456,0.2454,1777029441.765
0.5467,0.2434,1777029441.798
0.5467,0.2434,1777029441.829
0.5467,0.2454,1777029441.880
0.5456,0.2415,1777029441.910
0.5467,0.2396,1777029441.942
0.5467,0.2377,1777029441.996
0.5467,0.2377,1777029442.025
0.5477,0.2377,1777029442.058
0.5467,0.2357,1777029442.105
0.5467,0.2357,1777029442.136
0.5477,0.2377,1777029442.169
0.5467,0.2377,1777029442.215
0.5467,0.2377,1777029442.246
0.5477,0.2377,1777029442.279
0.5477,0.2377,1777029442.327
0.5467,0.2377,1777029442.376
0.5467,0.2377,1777029442.453
0.5456,0.2377,1777029442.484
0.5456,0.2377,1777029442.567
0.5456,0.2377,1777029442.598
0.5434,0.2396,1777029442.625
0.5423,0.2434,1777029442.663
0.5412,0.2434,1777029442.695
0.5412,0.2454,1777029442.727
0.5412,0.2454,1777029442.775
0.5412,0.2454,1777029442.810
0.5412,0.2473,1777029442.844
0.5412,0.2492,1777029442.889
0.5412,0.2473,1777029442.921
0.5412,0.2512,1777029442.954
0.5401,0.2492,1777029443.002
0.5401,0.2512,1777029443.033
0.5401,0.2512,1777029443.062
0.5412,0.2512,1777029443.114
0.5434,0.2473,1777029443.142
0.5564,0.2589,1777029443.174
0.5608,0.2512,1777029443.222
0.5684,0.2415,1777029443.253
0.5814,0.2261,1777029443.286
0.5955,0.2145,1777029443.333
0.6118,0.1991,1777029443.367
