center_x_norm,center_y_norm,duration_ms,ts_start,zone
0.1763,0.7294,534.6,1776939626.394,Stanga-Jos
0.2396,0.6860,150.4,1776939626.977,Stanga-Jos
0.6619,0.2290,115.4,1776939627.872,Centru-Sus
0.7192,0.1904,109.8,1776939628.038,Dreapta-Sus
0.7734,0.1668,110.1,1776939628.179,Dreapta-Sus
0.8084,0.1130,551.6,1776939628.342,Dreapta-Sus
0.8476,0.0615,197.1,1776939628.925,Dreapta-Sus
0.9056,0.0141,940.6,1776939629.172,Dreapta-Sus
0.9190,0.0275,1612.8,1776939630.146,Dreapta-Sus
0.8562,0.0431,476.6,1776939631.808,Dreapta-Sus
0.8190,0.0738,109.5,1776939632.340,Dreapta-Sus
0.8193,0.1333,441.8,1776939632.530,Dreapta-Sus
0.8273,0.1708,194.8,1776939633.001,Dreapta-Sus
0.8686,0.0991,199.3,1776939633.223,Dreapta-Sus
0.9073,0.0548,778.3,1776939633.470,Dreapta-Sus
0.9425,0.0040,299.6,1776939634.286,Dreapta-Sus
0.9494,0.0094,904.5,1776939634.643,Dreapta-Sus
0.9184,0.0282,671.9,1776939635.593,Dreapta-Sus
0.8725,0.0674,102.8,1776939636.302,Dreapta-Sus
0.7349,0.2685,173.8,1776939636.646,Dreapta-Sus
0.7186,0.3762,365.2,1776939636.878,Dreapta-Mijloc
0.7012,0.4592,215.0,1776939637.293,Dreapta-Mijloc
0.6500,0.5333,421.5,1776939637.538,Centru
0.5934,0.5272,1383.8,1776939637.989,Centru
0.7025,0.3911,692.3,1776939639.513,Dreapta-Mijloc
0.6302,0.9486,870.5,1776939640.696,Centru-Jos
0.6345,0.9995,797.2,1776939641.596,Centru-Jos
0.5615,0.9690,2782.1,1776939642.432,Centru-Jos
0.5089,0.9741,1109.6,1776939645.256,Centru-Jos
0.4654,0.9716,1922.2,1776939646.401,Centru-Jos
0.4673,0.8644,381.5,1776939648.350,Centru-Jos
0.4482,0.7749,278.1,1776939648.768,Centru-Jos
0.4376,0.6820,189.5,1776939649.071,Centru-Jos
0.4533,0.5786,104.6,1776939649.298,Centru
0.4734,0.4841,134.9,1776939649.437,Centru
0.5090,0.4035,127.3,1776939649.596,Centru
0.5532,0.3245,196.3,1776939649.755,Centru-Sus
0.6069,0.3265,556.7,1776939649.987,Centru-Sus
0.5996,0.3645,3817.9,1776939650.571,Centru
0.5836,0.3231,367.1,1776939654.423,Centru-Sus
0.6285,0.2625,310.7,1776939654.834,Centru-Sus
0.6478,0.1704,259.3,1776939655.179,Centru-Sus
0.6876,0.1166,5148.2,1776939655.481,Dreapta-Sus
0.6370,0.0978,122.3,1776939660.659,Centru-Sus
0.5836,0.0775,101.5,1776939660.829,Centru-Sus
0.3258,0.0486,125.1,1776939661.374,Stanga-Sus
0.2683,0.0616,109.1,1776939661.522,Stanga-Sus
0.2252,0.1062,479.6,1776939661.685,Stanga-Sus
0.2868,0.1428,181.1,1776939662.200,Stanga-Sus
0.3342,0.0809,4810.3,1776939662.436,Centru-Sus
0.3831,0.0533,219.8,1776939667.288,Centru-Sus
0.4429,0.0689,200.0,1776939667.539,Centru-Sus
0.5069,0.0805,457.6,1776939667.776,Centru-Sus
0.5735,0.0768,941.1,1776939668.272,Centru-Sus
0.5260,0.0631,118.3,1776939669.237,Centru-Sus
0.4701,0.0579,154.9,1776939669.384,Centru-Sus
0.4092,0.0591,307.0,1776939669.568,Centru-Sus
0.3532,0.0650,505.4,1776939669.904,Centru-Sus
0.2819,0.0862,11720.3,1776939670.444,Stanga-Sus
