norm_x,norm_y,timestamp
0.2808,0.6273,1776930839.618
0.2786,0.6273,1776930839.732
0.2765,0.6312,1776930839.766
0.2765,0.6312,1776930839.799
0.2786,0.6312,1776930839.835
0.2765,0.6312,1776930839.877
0.2743,0.6312,1776930839.908
0.2743,0.6312,1776930839.984
0.2743,0.6350,1776930840.015
0.2700,0.6427,1776930840.037
0.2700,0.6466,1776930840.068
0.2700,0.6466,1776930840.099
0.2700,0.6466,1776930840.136
0.2700,0.6389,1776930840.180
0.2700,0.6389,1776930840.213
0.2700,0.6466,1776930840.247
0.2656,0.6505,1776930840.301
0.2656,0.6505,1776930840.332
0.2656,0.6505,1776930840.359
0.2678,0.6543,1776930840.414
0.2678,0.6543,1776930840.442
0.2613,0.6466,1776930840.472
0.2613,0.6389,1776930840.525
0.2613,0.6389,1776930840.550
0.2613,0.6350,1776930840.581
0.2656,0.6350,1776930840.633
0.2678,0.6273,1776930840.666
0.2700,0.6273,1776930840.696
0.2721,0.6273,1776930840.748
0.2765,0.6235,1776930840.781
0.2765,0.6235,1776930840.808
0.2765,0.6235,1776930840.857
0.2743,0.6273,1776930840.891
0.2721,0.6235,1776930840.916
0.2700,0.6235,1776930840.970
0.2721,0.6235,1776930841.000
0.2743,0.6196,1776930841.050
0.2765,0.6196,1776930841.076
0.2808,0.6196,1776930841.106
0.2852,0.6119,1776930841.157
0.2852,0.6119,1776930841.188
0.2895,0.6119,1776930841.219
0.2917,0.6080,1776930841.272
0.2960,0.6080,1776930841.303
0.2982,0.6080,1776930841.340
0.3003,0.6003,1776930841.391
0.3025,0.6042,1776930841.413
0.3047,0.6042,1776930841.450
0.3112,0.6042,1776930841.501
0.3155,0.6003,1776930841.532
0.3199,0.6003,1776930841.563
0.3242,0.6003,1776930841.611
0.3307,0.5965,1776930841.642
0.3394,0.5965,1776930841.673
0.3459,0.5887,1776930841.725
0.3503,0.5887,1776930841.752
0.3589,0.5887,1776930841.786
0.3633,0.5810,1776930841.838
0.3720,0.5810,1776930841.860
0.3763,0.5810,1776930841.918
0.3850,0.5810,1776930841.944
0.3893,0.5772,1776930841.981
0.3937,0.5772,1776930842.028
0.3958,0.5772,1776930842.053
0.4002,0.5772,1776930842.088
0.4023,0.5772,1776930842.140
0.4045,0.5772,1776930842.171
0.4089,0.5810,1776930842.198
0.4132,0.5810,1776930842.252
0.4175,0.5810,1776930842.282
0.4175,0.5849,1776930842.314
0.4219,0.5887,1776930842.365
0.4240,0.5887,1776930842.390
0.4262,0.5926,1776930842.428
0.4284,0.5926,1776930842.475
0.4306,0.5965,1776930842.504
0.4327,0.6003,1776930842.538
0.4327,0.6003,1776930842.587
0.4349,0.6042,1776930842.618
0.4327,0.6042,1776930842.645
0.4436,0.6157,1776930842.709
0.4457,0.6235,1776930842.729
0.4457,0.6235,1776930842.762
0.4479,0.6273,1776930842.806
0.4479,0.6273,1776930842.837
0.4479,0.6312,1776930842.868
0.4479,0.6312,1776930842.917
0.4479,0.6312,1776930842.957
0.4479,0.6312,1776930842.982
0.4457,0.6350,1776930843.037
0.4457,0.6389,1776930843.063
0.4414,0.6389,1776930843.118
0.4414,0.6466,1776930843.150
0.4414,0.6466,1776930843.172
0.4392,0.6505,1776930843.225
0.4371,0.6505,1776930843.260
0.4371,0.6505,1776930843.286
0.4414,0.6543,1776930843.347
0.4436,0.6505,1776930843.371
0.4457,0.6466,1776930843.398
0.4457,0.6466,1776930843.463
0.4501,0.6466,1776930843.490
0.4566,0.6389,1776930843.508
0.4653,0.6350,1776930843.561
0.4761,0.6273,1776930843.595
0.4870,0.6196,1776930843.628
0.5000,0.6080,1776930843.678
0.5152,0.6003,1776930843.705
0.5282,0.5887,1776930843.737
0.5412,0.5733,1776930843.785
0.5564,0.5579,1776930843.819
0.5694,0.5424,1776930843.852
0.5846,0.5309,1776930843.897
0.5998,0.5154,1776930843.929
0.6128,0.5000,1776930843.961
0.6345,0.4691,1776930844.014
0.6562,0.4421,1776930844.038
0.6736,0.4190,1776930844.089
0.6931,0.3997,1776930844.120
0.7127,0.3804,1776930844.154
0.7322,0.3573,1776930844.202
0.7539,0.3341,1776930844.236
0.7713,0.3148,1776930844.263
0.7930,0.2994,1776930844.313
0.8082,0.2840,1776930844.352
0.8255,0.2685,1776930844.379
0.8385,0.2531,1776930844.420
0.8537,0.2377,1776930844.455
0.8624,0.2222,1776930844.491
0.8689,0.2068,1776930844.538
0.8711,0.1914,1776930844.565
0.8733,0.1759,1776930844.605
0.8754,0.1644,1776930844.667
0.8776,0.1528,1776930844.704
0.8798,0.1412,1776930844.723
0.8798,0.1335,1776930844.763
0.8798,0.1258,1776930844.787
0.8776,0.1181,1776930844.819
0.8776,0.1103,1776930844.881
0.8776,0.0988,1776930844.911
0.8776,0.0910,1776930844.950
0.8819,0.0872,1776930844.986
0.8841,0.0795,1776930845.011
0.8885,0.0718,1776930845.044
0.8928,0.0679,1776930845.092
0.9015,0.0640,1776930845.131
0.9058,0.0602,1776930845.180
0.9123,0.0602,1776930845.206
0.9188,0.0602,1776930845.238
0.9232,0.0640,1776930845.290
0.9253,0.0640,1776930845.317
0.9297,0.0640,1776930845.353
0.9319,0.0640,1776930845.404
0.9319,0.0640,1776930845.430
